iter	Passed	Remaining
404	7314	10746
405	7331	10726
406	7348	10706
407	7365	10687
408	7382	10667
409	7398	10647
410	7416	10627
411	7434	10610
412	7453	10593
413	7470	10574
414	7487	10554
415	7505	10536
416	7521	10515
417	7537	10495
418	7555	10476
419	7574	10459
420	7591	10440
421	7608	10420
422	7625	10402
423	7643	10383
424	7658	10361
425	7675	10342
426	7692	10322
427	7710	10304
428	7729	10287
429	7746	10268
430	7763	10249
431	7781	10230
432	7797	10210
433	7814	10191
434	7832	10172
435	7850	10154
436	7866	10134
437	7884	10116
438	7901	10097
439	7918	10077
440	7935	10058
441	7952	10040
442	7969	10020
443	7986	10001
444	8004	9983
445	8021	9963
446	8040	9947
447	8061	9932
448	8079	9915
449	8097	9896
450	8115	9878
451	8130	9857
452	8149	9840
453	8166	9821
454	8183	9802
455	8198	9781
456	8217	9763
457	8235	9745
458	8250	9724
459	8268	9707
460	8284	9686
461	8300	9665
462	8316	9646
463	8333	9626
464	8351	9608
465	8369	9590
466	8385	9570
467	8402	9551
468	8418	9531
469	8435	9512
470	8452	9493
471	8470	9475
472	8487	9456
473	8504	9437
474	8521	9418
475	8539	9400
476	8558	9383
477	8575	9365
478	8591	9345
479	8608	9326
480	8625	9306
481	8643	9289
482	8660	9270
483	8677	9251
484	8694	9232
485	8711	9212
486	8727	9193
487	8744	9175
488	8763	9157
489	8780	9138
490	8797	9119
491	8813	9100
492	8830	9081
493	8847	9062
494	8874	9053
495	8950	9094
496	9021	9130
497	9112	9186
498	9148	9185
499	9210	9210
500	9229	9192
501	9248	9175
502	9266	9155
503	9283	9135
504	9300	9116
505	9319	9098
506	9336	9079
507	9353	9059
508	9369	9038
509	9386	9018
510	9404	8999
511	9421	8979
512	9440	8962
513	9458	8943
514	9477	8925
515	9495	8906
516	9511	8886
517	9528	8866
518	9544	8845
519	9562	8826
520	9579	8807
521	9597	8788
522	9614	8768
523	9631	8749
524	9649	8730
525	9666	8710
526	9683	8691
527	9700	8671
528	9718	8652
529	9736	8634
530	9753	8614
531	9770	8595
532	9787	8575
533	9806	8557
534	9824	8539
535	9841	8519
536	9859	8500
537	9876	8481
538	9893	8461
539	9910	8442
540	9928	8423
541	9946	8405
542	9963	8385
543	9981	8367
544	9999	8348
545	10014	8327
546	10032	8308
547	10050	8289
548	10070	8272
549	10087	8253
550	10105	8234
551	10121	8214
552	10138	8195
553	10156	8176
554	10176	8159
555	10194	8140
556	10213	8123
557	10235	8108
558	10253	8089
559	10270	8069
560	10286	8049
561	10303	8029
562	10320	8011
563	10338	7991
564	10354	7971
565	10371	7953
566	10389	7934
567	10407	7915
568	10424	7896
569	10442	7877
570	10459	7858
571	10477	7839
572	10495	7821
573	10513	7802
574	10530	7783
575	10546	7763
576	10564	7744
577	10581	7725
578	10598	7706
579	10615	7687
580	10630	7666
581	10649	7648
582	10665	7628
583	10683	7610
584	10701	7591
585	10718	7572
586	10733	7551
587	10749	7532
588	10765	7512
589	10782	7493
590	10800	7474
591	10817	7455
592	10834	7436
593	10851	7416
594	10867	7397
595	10884	7377
596	10901	7359
597	10918	7340
598	10935	7320
599	10952	7301
600	10970	7283
601	10986	7263
602	11003	7244
603	11021	7226
604	11040	7208
605	11061	7191
606	11079	7173
607	11096	7154
608	11113	7135
609	11129	7115
610	11145	7095
611	11166	7079
612	11184	7060
613	11201	7041
614	11218	7022
615	11234	7003
616	11251	6984
617	11267	6964
618	11285	6946
619	11304	6928
620	11326	6912
621	11346	6895
622	11365	6877
623	11386	6860
624	11404	6842
625	11427	6827
626	11444	6808
627	11461	6789
628	11478	6770
629	11495	6751
630	11513	6732
631	11530	6714
632	11548	6695
633	11563	6675
634	11580	6656
635	11597	6637
636	11614	6618
637	11631	6599
638	11648	6580
639	11665	6561
640	11684	6544
641	11702	6525
642	11718	6506
643	11734	6486
