iter	Logloss
0	0.6823308851
1	0.6708906862
2	0.6593759093
3	0.649002522
4	0.6392081447
5	0.6311364191
6	0.621220403
7	0.6135762519
8	0.6066378134
9	0.5993818379
10	0.591029
11	0.5838572094
12	0.5767764766
13	0.5713736761
14	0.5655025964
15	0.559064194
16	0.5531356689
17	0.5477443064
18	0.5415188437
19	0.5347330514
20	0.5303590698
21	0.5262001746
22	0.5222493788
23	0.5187179779
24	0.5134440964
25	0.5068299998
26	0.5025292479
27	0.4990652575
28	0.4948185391
29	0.4892814218
30	0.4856659082
31	0.4814674503
32	0.4783708131
33	0.4743386003
34	0.4697487155
35	0.4672164006
36	0.4640283494
37	0.4610204963
38	0.4584586707
39	0.4552388905
40	0.4525190326
41	0.4500895607
42	0.4474581068
43	0.443206026
44	0.4404417693
45	0.4379360102
46	0.4353812592
47	0.4341035138
48	0.4311424846
49	0.428428526
50	0.4271777512
51	0.4241902571
52	0.4214947953
53	0.4180198339
54	0.4166143604
55	0.4124840647
56	0.4103141503
57	0.4093437771
58	0.4072269277
59	0.4042827685
60	0.4021909607
61	0.4013182992
62	0.4005825982
63	0.3976413805
64	0.3968626652
65	0.3959877617
66	0.3926666177
67	0.3918709583
68	0.39025597
69	0.389448894
70	0.3882519714
71	0.3875734485
72	0.3847952743
73	0.3833056367
74	0.3816938118
75	0.3800786933
76	0.379200164
77	0.3775107905
78	0.3758893916
79	0.37363679
80	0.3730515743
81	0.3720333068
82	0.3714693673
83	0.3708156782
84	0.370329509
85	0.3695405941
86	0.3689587562
87	0.3683440751
88	0.3671983881
89	0.3667089585
90	0.3651442627
91	0.3640710462
92	0.3635797246
93	0.3620205875
94	0.3613564175
95	0.3609973052
96	0.3605845119
97	0.3600911058
98	0.3591064769
99	0.3578426005
100	0.3568809567
101	0.3555958924
102	0.3547415046
103	0.3542852758
104	0.3521835059
105	0.3509575185
106	0.3499442552
107	0.3469583156
108	0.3456090959
109	0.3445901372
110	0.3435303246
111	0.3423506893
112	0.3411520802
113	0.3407613213
114	0.339953186
115	0.3393530367
116	0.3390289008
117	0.3387663983
118	0.3380625903
119	0.337878638
120	0.3369505874
121	0.3365547089
122	0.3351294143
123	0.3341842331
124	0.3336252663
125	0.3329651355
126	0.3321875422
127	0.3319104607
128	0.331029615
129	0.3306899905
130	0.3296249001
131	0.3293068929
132	0.3290251466
133	0.3287776749
134	0.3285056578
135	0.3281785792
136	0.3275898656
137	0.326909707
138	0.3252038143
139	0.3247568301
140	0.3239982482
141	0.3237177623
142	0.3231367108
143	0.3228553501
144	0.3225402113
145	0.3221456301
146	0.3219137096
147	0.3211053297
148	0.3203529878
149	0.3200538006
150	0.3197589945
151	0.3193893534
152	0.3191210229
153	0.3189298698
154	0.3184297458
155	0.3181122474
156	0.3176140437
157	0.3173889382
158	0.3171266769
159	0.3166552767
160	0.3163923346
161	0.3160861395
162	0.3155943151
163	0.3153974704
164	0.3148046992
165	0.3146000494
166	0.3143481152
167	0.31410349
168	0.3137544582
169	0.3132863083
170	0.3127737356
171	0.3119944219
172	0.3116665759
173	0.3113922723
174	0.3111716824
175	0.3109147344
176	0.3106548469
177	0.3104617373
178	0.3102471101
179	0.309988368
180	0.3094948526
181	0.3092804517
182	0.3089520366
183	0.3085892169
184	0.3076666032
185	0.3070550804
186	0.3067149958
187	0.3060641638
188	0.3058414772
189	0.3053056598
190	0.3049451437
191	0.3044531019
192	0.3040072387
193	0.3035286511
194	0.3032819657
195	0.3029775991
196	0.3025185315
197	0.3022326156
198	0.3016301543
199	0.301302479
200	0.3011181547
201	0.3008428934
202	0.3004437342
203	0.3000817154
204	0.2998945529
205	0.2993594136
206	0.2991791687
207	0.2989739535
208	0.2984915552
209	0.2982620121
210	0.2980399343
211	0.2977373591
212	0.2975278468
213	0.2971809087
214	0.2963012915
215	0.2961288606
216	0.2959311696
217	0.2955762507
218	0.2950171906
219	0.2944603866
220	0.2943178755
221	0.2940853139
222	0.2938803448
223	0.2936301362
224	0.2932557483
225	0.2929903819
226	0.2926531239
227	0.2923063439
228	0.2921587267
229	0.2915850605
230	0.2913868535
231	0.2911716682
232	0.2910261358
233	0.2907502535
234	0.2905611027
235	0.2898632028
236	0.2896769214
237	0.28943029
238	0.2891895524
239	0.2888722063
240	0.2886638449
241	0.2885147433
242	0.2883377196
243	0.2881245407
244	0.2879441955
245	0.2870623174
246	0.2868207533
247	0.2866415533
248	0.2862718312
249	0.285995522
250	0.2856662192
251	0.2851994642
252	0.2849938766
253	0.2848456564
254	0.2846618436
255	0.2844728855
256	0.2842541189
257	0.284052464
258	0.2838941689
259	0.2837563616
260	0.2835375568
261	0.2830462115
262	0.2828034305
263	0.2826493722
264	0.2823813067
265	0.2820210522
266	0.2817451853
267	0.2813777018
268	0.2812404382
269	0.281112171
270	0.2808960216
271	0.2804210958
272	0.2801386982
273	0.2798681261
274	0.2796714214
275	0.2793365191
276	0.2790553973
277	0.2786523595
278	0.2785333014
279	0.2784151162
280	0.2778577107
281	0.2775891944
282	0.2772636112
283	0.2771097468
284	0.276821125
285	0.276676173
286	0.276413239
287	0.2762051575
288	0.2760366037
289	0.2755441775
290	0.2752221427
291	0.2750476793
292	0.2747715391
293	0.2746155886
294	0.2744538688
295	0.2743161533
296	0.2737840274
297	0.2735553392
298	0.2734054508
299	0.2730482948
300	0.2728780732
301	0.2727144314
302	0.2724961983
303	0.2723311001
304	0.2720918979
305	0.2719334335
306	0.2716668769
307	0.2712646137
308	0.2710944036
309	0.2708641339
310	0.2707586179
311	0.2706168888
312	0.2702872873
313	0.2700406553
314	0.269752397
315	0.2695912468
316	0.2692673878
317	0.2689521016
318	0.2688208678
319	0.2685190258
320	0.2681866418
321	0.2679615067
322	0.2676907696
323	0.2673915468
324	0.2670331537
325	0.2666651281
326	0.2664002878
327	0.2662670817
328	0.2660598877
329	0.2658169685
330	0.2656265446
331	0.2654553501
332	0.2650390969
333	0.2648645384
334	0.2646180188
335	0.2644374576
336	0.2641557863
337	0.2639859714
338	0.2637683555
339	0.2636282114
340	0.2634121803
341	0.2631436254
342	0.2630233883
343	0.2627348559
344	0.2626012543
345	0.2623973022
346	0.2620829021
347	0.2618910584
348	0.2617516668
349	0.2615131528
350	0.2612980865
351	0.2610884325
352	0.260916064
353	0.2608200732
354	0.2605525337
355	0.2604741491
356	0.2602966426
357	0.2599657897
358	0.2598072147
359	0.2595686595
360	0.2592408468
361	0.2589111727
362	0.2587127536
363	0.2585028361
364	0.2582945312
365	0.2581278912
366	0.2579052103
367	0.2576774871
368	0.2573963682
369	0.2573092728
370	0.256917667
371	0.2567257845
372	0.2566097965
373	0.2563442496
374	0.2561624102
375	0.2559071028
376	0.2556571335
377	0.2550878353
378	0.2548894688
379	0.2545327815
380	0.254349172
381	0.2540528153
